year,month,longest_attack,shortest_attack
2022,вересень,0 days 00:59:00,0 days 00:59:00
2022,жовтень,0 days 08:00:00,0 days 00:30:00
2022,листопад,0 days 03:00:00,0 days 01:00:00
2022,грудень,0 days 03:00:00,0 days 01:00:00
2023,січень,0 days 06:00:00,0 days 03:00:00
2023,лютий,0 days 14:10:00,0 days 02:05:00
2023,березень,0 days 04:30:00,0 days 02:10:00
2023,квітень,0 days 04:50:00,0 days 02:00:00
2023,травень,0 days 08:30:00,0 days 00:30:00
2023,червень,0 days 06:00:00,0 days 02:30:00
2023,липень,0 days 06:00:00,0 days 01:30:00
2023,серпень,0 days 07:00:00,0 days 00:30:00
2023,вересень,0 days 06:00:00,0 days 05:30:00
2023,жовтень,0 days 09:00:00,0 days 09:00:00
2023,листопад,0 days 08:00:00,0 days 02:00:00
2023,грудень,0 days 13:00:00,0 days 01:00:00
2024,січень,0 days 12:00:00,0 days 01:10:00
2024,березень,0 days 07:00:00,0 days 04:00:00
2024,липень,0 days 01:00:00,0 days 01:00:00
2024,серпень,0 days 15:00:00,0 days 15:00:00
2024,вересень,0 days 13:00:00,0 days 00:10:00
2024,жовтень,0 days 17:00:00,0 days 00:10:00
2024,листопад,0 days 19:00:00,0 days 00:30:00
2024,грудень,1 days 01:00:00,0 days 00:50:00
2025,січень,0 days 15:00:00,0 days 00:30:00
2025,лютий,0 days 16:00:00,0 days 00:10:00
2025,березень,0 days 15:00:00,0 days 06:00:00
2025,квітень,1 days 00:50:00,0 days 00:15:00
